region_bld,clim,arch,eneff,urt,region_nuts,value
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG332,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG333,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG333,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG334,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG334,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG341,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG341,31.98629012
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,C-EEU-BGR-BG342,8.47409187
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,C-EEU-BGR-BG342,9.91997426
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG343,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG343,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG344,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG344,31.98629012
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,C-EEU-BGR-BG411,8.47409187
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,C-EEU-BGR-BG411,9.91997426
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,C-EEU-BGR-BG412,8.47409187
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,C-EEU-BGR-BG412,9.91997426
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,C-EEU-BGR-BG413,8.47409187
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,C-EEU-BGR-BG413,9.91997426
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,C-EEU-BGR-BG414,8.47409187
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,C-EEU-BGR-BG414,9.91997426
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,C-EEU-BGR-BG415,8.47409187
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,C-EEU-BGR-BG415,9.91997426
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG421,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG421,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG422,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG422,31.98629012
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG423,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG423,31.98629012
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,C-EEU-BGR-BG424,8.47409187
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,C-EEU-BGR-BG424,9.91997426
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG425,32.13214896
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG425,31.98629012
C-WEU-CYP,Zone_3A Warm Humid,inf,ns,rur,C-WEU-CYP-CY000,135.07872212
C-WEU-CYP,Zone_3A Warm Humid,inf,ns,urb,C-WEU-CYP-CY000,128.58583543
