region_bld,clim,inc_cl,year,urt,region_nuts,value
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG341,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG341,0.05395308
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,rur,C-EEU-BGR-BG342,0.01389072
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,urb,C-EEU-BGR-BG342,0.02691767
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG343,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG343,0.05395308
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG344,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG344,0.05395308
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,rur,C-EEU-BGR-BG411,0.01389072
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,urb,C-EEU-BGR-BG411,0.02691767
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,rur,C-EEU-BGR-BG412,0.01389072
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,urb,C-EEU-BGR-BG412,0.02691767
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,rur,C-EEU-BGR-BG413,0.01389072
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,urb,C-EEU-BGR-BG413,0.02691767
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,rur,C-EEU-BGR-BG414,0.01389072
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,urb,C-EEU-BGR-BG414,0.02691767
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,rur,C-EEU-BGR-BG415,0.01389072
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,urb,C-EEU-BGR-BG415,0.02691767
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG421,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG421,0.05395308
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG422,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG422,0.05395308
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG423,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG423,0.05395308
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,rur,C-EEU-BGR-BG424,0.01389072
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,urb,C-EEU-BGR-BG424,0.02691767
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG425,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG425,0.05395308
C-WEU-CYP,Zone_3A Warm Humid,q1,2015,rur,C-WEU-CYP-CY000,0.07126167
C-WEU-CYP,Zone_3A Warm Humid,q1,2015,urb,C-WEU-CYP-CY000,0.1803593
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,rur,C-EEU-CZE-CZ010,0.04382722
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,urb,C-EEU-CZE-CZ010,0.1316314
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,rur,C-EEU-CZE-CZ020,0.04382722
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,urb,C-EEU-CZE-CZ020,0.1316314
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,rur,C-EEU-CZE-CZ031,0.04382722
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,urb,C-EEU-CZE-CZ031,0.1316314
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,rur,C-EEU-CZE-CZ032,0.04382722
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,urb,C-EEU-CZE-CZ032,0.1316314
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,rur,C-EEU-CZE-CZ041,0.04382722
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,urb,C-EEU-CZE-CZ041,0.1316314
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,rur,C-EEU-CZE-CZ042,0.04382722
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,urb,C-EEU-CZE-CZ042,0.1316314
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,rur,C-EEU-CZE-CZ051,0.04382722
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,urb,C-EEU-CZE-CZ051,0.1316314
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,rur,C-EEU-CZE-CZ052,0.04382722
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,urb,C-EEU-CZE-CZ052,0.1316314
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,rur,C-EEU-CZE-CZ053,0.04382722
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,urb,C-EEU-CZE-CZ053,0.1316314
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,rur,C-EEU-CZE-CZ063,0.04382722
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,urb,C-EEU-CZE-CZ063,0.1316314
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,rur,C-EEU-CZE-CZ064,0.04382722
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,urb,C-EEU-CZE-CZ064,0.1316314
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,rur,C-EEU-CZE-CZ071,0.04382722
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,urb,C-EEU-CZE-CZ071,0.1316314
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,rur,C-EEU-CZE-CZ072,0.04382722
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,urb,C-EEU-CZE-CZ072,0.1316314
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,rur,C-EEU-CZE-CZ080,0.04382722
C-EEU-CZE,Zone_5A Cool Humid,q1,2015,urb,C-EEU-CZE-CZ080,0.1316314
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,rur,C-WEU-DEU-DE111,0.08327195
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,urb,C-WEU-DEU-DE111,0.1984528
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,rur,C-WEU-DEU-DE112,0.08327195
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,urb,C-WEU-DEU-DE112,0.1984528
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,rur,C-WEU-DEU-DE113,0.08327195
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,urb,C-WEU-DEU-DE113,0.1984528
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,rur,C-WEU-DEU-DE114,0.08327195
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,urb,C-WEU-DEU-DE114,0.1984528
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,rur,C-WEU-DEU-DE115,0.08327195
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,urb,C-WEU-DEU-DE115,0.1984528
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,rur,C-WEU-DEU-DE116,0.08327195
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,urb,C-WEU-DEU-DE116,0.1984528
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,rur,C-WEU-DEU-DE117,0.08327195
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,urb,C-WEU-DEU-DE117,0.1984528
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,rur,C-WEU-DEU-DE118,0.08327195
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,urb,C-WEU-DEU-DE118,0.1984528
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,rur,C-WEU-DEU-DE119,0.08327195
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,urb,C-WEU-DEU-DE119,0.1984528
C-WEU-DEU,Zone_5A Cool Humid,q1,2015,rur,C-WEU-DEU-DE11A,0.08327195
