region_gea,arch,material,year,value
LAC,mfh,aluminum,2065,2.0570446735
LAC,mfh,aluminum,2070,2.0570446735
LAC,mfh,aluminum,2075,2.0570446735
LAC,mfh,aluminum,2080,2.0570446735
LAC,mfh,aluminum,2085,2.0570446735
LAC,mfh,aluminum,2090,2.0570446735
LAC,mfh,aluminum,2095,2.0570446735
LAC,mfh,aluminum,2100,2.0570446735
LAC,mfh,concrete,2015,941.1665777499999
LAC,mfh,concrete,2020,941.1665777499999
LAC,mfh,concrete,2025,941.1665777499999
LAC,mfh,concrete,2030,941.1665777499999
LAC,mfh,concrete,2035,941.1665777499999
LAC,mfh,concrete,2040,941.1665777499999
LAC,mfh,concrete,2045,941.1665777499999
LAC,mfh,concrete,2050,941.1665777499999
LAC,mfh,concrete,2055,941.1665777499999
LAC,mfh,concrete,2060,941.1665777499999
LAC,mfh,concrete,2065,941.1665777499999
LAC,mfh,concrete,2070,941.1665777499999
LAC,mfh,concrete,2075,941.1665777499999
LAC,mfh,concrete,2080,941.1665777499999
LAC,mfh,concrete,2085,941.1665777499999
LAC,mfh,concrete,2090,941.1665777499999
LAC,mfh,concrete,2095,941.1665777499999
LAC,mfh,concrete,2100,941.1665777499999
LAC,mfh,copper,2015,0.1749484535
LAC,mfh,copper,2020,0.1749484535
LAC,mfh,copper,2025,0.1749484535
LAC,mfh,copper,2030,0.1749484535
LAC,mfh,copper,2035,0.1749484535
LAC,mfh,copper,2040,0.1749484535
LAC,mfh,copper,2045,0.1749484535
LAC,mfh,copper,2050,0.1749484535
LAC,mfh,copper,2055,0.1749484535
LAC,mfh,copper,2060,0.1749484535
LAC,mfh,copper,2065,0.1749484535
LAC,mfh,copper,2070,0.1749484535
LAC,mfh,copper,2075,0.1749484535
LAC,mfh,copper,2080,0.1749484535
LAC,mfh,copper,2085,0.1749484535
LAC,mfh,copper,2090,0.1749484535
LAC,mfh,copper,2095,0.1749484535
LAC,mfh,copper,2100,0.1749484535
LAC,mfh,glass,2015,4.548425308
LAC,mfh,glass,2020,4.548425308
LAC,mfh,glass,2025,4.548425308
LAC,mfh,glass,2030,4.548425308
LAC,mfh,glass,2035,4.548425308
LAC,mfh,glass,2040,4.548425308
LAC,mfh,glass,2045,4.548425308
LAC,mfh,glass,2050,4.548425308
LAC,mfh,glass,2055,4.548425308
LAC,mfh,glass,2060,4.548425308
LAC,mfh,glass,2065,4.548425308
LAC,mfh,glass,2070,4.548425308
LAC,mfh,glass,2075,4.548425308
LAC,mfh,glass,2080,4.548425308
LAC,mfh,glass,2085,4.548425308
