region_bld,clim,arch,eneff,urt,region_nuts,value
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG334,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG341,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG341,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,C-EEU-BGR-BG342,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,C-EEU-BGR-BG342,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG343,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG343,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG344,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG344,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,C-EEU-BGR-BG411,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,C-EEU-BGR-BG411,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,C-EEU-BGR-BG412,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,C-EEU-BGR-BG412,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,C-EEU-BGR-BG413,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,C-EEU-BGR-BG413,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,C-EEU-BGR-BG414,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,C-EEU-BGR-BG414,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,C-EEU-BGR-BG415,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,C-EEU-BGR-BG415,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG421,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG421,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG422,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG422,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG423,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG423,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,C-EEU-BGR-BG424,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,C-EEU-BGR-BG424,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG425,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG425,1.0
C-WEU-CYP,Zone_3A Warm Humid,inf,ns,rur,C-WEU-CYP-CY000,1.0
C-WEU-CYP,Zone_3A Warm Humid,inf,ns,urb,C-WEU-CYP-CY000,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ010,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ010,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ020,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ020,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ031,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ031,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ032,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ032,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ041,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ041,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ042,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ042,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ051,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ051,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ052,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ052,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ053,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ053,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ063,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ063,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ064,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ064,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ071,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ071,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ072,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ072,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,rur,C-EEU-CZE-CZ080,1.0
C-EEU-CZE,Zone_5A Cool Humid,inf,ns,urb,C-EEU-CZE-CZ080,1.0
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,rur,C-WEU-DEU-DE111,1.0
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,urb,C-WEU-DEU-DE111,1.0
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,rur,C-WEU-DEU-DE112,1.0
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,urb,C-WEU-DEU-DE112,1.0
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,rur,C-WEU-DEU-DE113,1.0
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,urb,C-WEU-DEU-DE113,1.0
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,rur,C-WEU-DEU-DE114,1.0
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,urb,C-WEU-DEU-DE114,1.0
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,rur,C-WEU-DEU-DE115,1.0
C-WEU-DEU,Zone_5A Cool Humid,inf,ns,urb,C-WEU-DEU-DE115,1.0
