region_bld,region_nuts,urt,clim,year,value
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2060,0.0771537766134729
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2065,0.018251754674923244
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2065,0.07411124532507676
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2070,0.0162525549843969
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2070,0.0713184450156031
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2075,0.014576064391571787
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2075,0.06897593560842821
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2080,0.013200458334045073
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2080,0.06723354166595494
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2085,0.012068824074069576
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2085,0.06603917592593042
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2090,0.011117479952544966
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2090,0.06524852004745504
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2095,0.010283126353943545
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2095,0.06462487364605646
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2100,0.00954802407727336
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2100,0.06416597592272665
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2020,0.12891772461945336
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2020,0.22857827538054662
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2025,0.1198437098648527
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2025,0.23642829013514727
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2030,0.1108944007587944
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2030,0.2423605992412056
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2035,0.10264000827225202
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2035,0.24750199172774803
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2040,0.0948046348014291
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2040,0.25129036519857095
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2045,0.08726373251264789
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2045,0.2533872674873521
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2050,0.08003246157655769
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2050,0.25375553842344223
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2055,0.0732182732848096
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2055,0.25276072671519045
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2060,0.06690187414845913
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2060,0.2507981258515408
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2065,0.06113072130828205
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2065,0.24822127869171795
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2070,0.05591950899166111
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2070,0.24538249100833892
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2075,0.05129552782993856
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2075,0.2427374721700614
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2080,0.04724915278723232
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2080,0.2406528472127677
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2085,0.04365376549206592
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2085,0.2388682345079341
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2090,0.04039087061563834
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2090,0.23705412938436168
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2095,0.03742726881328459
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2095,0.23521373118671546
C-WEU-PRT,C-WEU-PRT-PT1D1,rur,Zone_3A Warm Humid,2100,0.034775148712185504
C-WEU-PRT,C-WEU-PRT-PT1D1,urb,Zone_3A Warm Humid,2100,0.2337008512878145
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2020,0.08364203436999153
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2020,0.14830196563000847
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2025,0.07579373261650821
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2025,0.14952626738349178
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2030,0.06866251802796085
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2030,0.15006248197203917
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2035,0.062383334305608856
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2035,0.15042866569439117
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2040,0.056653504296888334
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2040,0.1501664957031117
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2045,0.05127449706512414
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2045,0.14888550293487587
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2050,0.04623347565232471
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2050,0.14659052434767528
C-WEU-PRT,C-WEU-PRT-PT1D2,rur,Zone_3A Warm Humid,2055,0.04158684000182768
C-WEU-PRT,C-WEU-PRT-PT1D2,urb,Zone_3A Warm Humid,2055,0.14356415999817235
