region_gea,arch,material,year,urt,value
NAM,mfh,steel,2085,sub,69.45769362
NAM,mfh,steel,2090,rur,67.98111111
NAM,mfh,steel,2090,urb,70.93427613
NAM,mfh,steel,2090,sub,69.45769362
NAM,mfh,steel,2095,rur,67.98111111
NAM,mfh,steel,2095,urb,70.93427613
NAM,mfh,steel,2095,sub,69.45769362
NAM,mfh,steel,2100,rur,67.98111111
NAM,mfh,steel,2100,urb,70.93427613
NAM,mfh,steel,2100,sub,69.45769362
NAM,mfh,wood,2015,rur,39.58222222
NAM,mfh,wood,2015,urb,42.37849159
NAM,mfh,wood,2015,sub,40.980356905
NAM,mfh,wood,2020,rur,39.58222222
NAM,mfh,wood,2020,urb,42.37849159
NAM,mfh,wood,2020,sub,40.980356905
NAM,mfh,wood,2025,rur,39.58222222
NAM,mfh,wood,2025,urb,42.37849159
NAM,mfh,wood,2025,sub,40.980356905
NAM,mfh,wood,2030,rur,39.58222222
NAM,mfh,wood,2030,urb,42.37849159
NAM,mfh,wood,2030,sub,40.980356905
NAM,mfh,wood,2035,rur,39.58222222
NAM,mfh,wood,2035,urb,42.37849159
NAM,mfh,wood,2035,sub,40.980356905
NAM,mfh,wood,2040,rur,39.58222222
NAM,mfh,wood,2040,urb,42.37849159
NAM,mfh,wood,2040,sub,40.980356905
NAM,mfh,wood,2045,rur,39.58222222
NAM,mfh,wood,2045,urb,42.37849159
NAM,mfh,wood,2045,sub,40.980356905
NAM,mfh,wood,2050,rur,39.58222222
NAM,mfh,wood,2050,urb,42.37849159
NAM,mfh,wood,2050,sub,40.980356905
NAM,mfh,wood,2055,rur,39.58222222
NAM,mfh,wood,2055,urb,42.37849159
NAM,mfh,wood,2055,sub,40.980356905
NAM,mfh,wood,2060,rur,39.58222222
NAM,mfh,wood,2060,urb,42.37849159
NAM,mfh,wood,2060,sub,40.980356905
NAM,mfh,wood,2065,rur,39.58222222
NAM,mfh,wood,2065,urb,42.37849159
NAM,mfh,wood,2065,sub,40.980356905
NAM,mfh,wood,2070,rur,39.58222222
NAM,mfh,wood,2070,urb,42.37849159
NAM,mfh,wood,2070,sub,40.980356905
NAM,mfh,wood,2075,rur,39.58222222
NAM,mfh,wood,2075,urb,42.37849159
NAM,mfh,wood,2075,sub,40.980356905
NAM,mfh,wood,2080,rur,39.58222222
NAM,mfh,wood,2080,urb,42.37849159
NAM,mfh,wood,2080,sub,40.980356905
NAM,mfh,wood,2085,rur,39.58222222
NAM,mfh,wood,2085,urb,42.37849159
NAM,mfh,wood,2085,sub,40.980356905
NAM,mfh,wood,2090,rur,39.58222222
NAM,mfh,wood,2090,urb,42.37849159
NAM,mfh,wood,2090,sub,40.980356905
NAM,mfh,wood,2095,rur,39.58222222
NAM,mfh,wood,2095,urb,42.37849159
NAM,mfh,wood,2095,sub,40.980356905
NAM,mfh,wood,2100,rur,39.58222222
NAM,mfh,wood,2100,urb,42.37849159
NAM,mfh,wood,2100,sub,40.980356905
NAM,sfh,aluminum,2015,rur,4.744127896
NAM,sfh,aluminum,2015,urb,4.173510274
NAM,sfh,aluminum,2015,sub,4.458819085
NAM,sfh,aluminum,2020,rur,4.744127896
NAM,sfh,aluminum,2020,urb,4.173510274
NAM,sfh,aluminum,2020,sub,4.458819085
NAM,sfh,aluminum,2025,rur,4.744127896
NAM,sfh,aluminum,2025,urb,4.173510274
NAM,sfh,aluminum,2025,sub,4.458819085
NAM,sfh,aluminum,2030,rur,4.744127896
NAM,sfh,aluminum,2030,urb,4.173510274
NAM,sfh,aluminum,2030,sub,4.458819085
NAM,sfh,aluminum,2035,rur,4.744127896
NAM,sfh,aluminum,2035,urb,4.173510274
NAM,sfh,aluminum,2035,sub,4.458819085
NAM,sfh,aluminum,2040,rur,4.744127896
NAM,sfh,aluminum,2040,urb,4.173510274
NAM,sfh,aluminum,2040,sub,4.458819085
NAM,sfh,aluminum,2045,rur,4.744127896
NAM,sfh,aluminum,2045,urb,4.173510274
NAM,sfh,aluminum,2045,sub,4.458819085
NAM,sfh,aluminum,2050,rur,4.744127896
NAM,sfh,aluminum,2050,urb,4.173510274
NAM,sfh,aluminum,2050,sub,4.458819085
NAM,sfh,aluminum,2055,rur,4.744127896
NAM,sfh,aluminum,2055,urb,4.173510274
NAM,sfh,aluminum,2055,sub,4.458819085
NAM,sfh,aluminum,2060,rur,4.744127896
NAM,sfh,aluminum,2060,urb,4.173510274
NAM,sfh,aluminum,2060,sub,4.458819085
NAM,sfh,aluminum,2065,rur,4.744127896
NAM,sfh,aluminum,2065,urb,4.173510274
NAM,sfh,aluminum,2065,sub,4.458819085
NAM,sfh,aluminum,2070,rur,4.744127896
NAM,sfh,aluminum,2070,urb,4.173510274
NAM,sfh,aluminum,2070,sub,4.458819085
NAM,sfh,aluminum,2075,rur,4.744127896
NAM,sfh,aluminum,2075,urb,4.173510274
NAM,sfh,aluminum,2075,sub,4.458819085
NAM,sfh,aluminum,2080,rur,4.744127896
NAM,sfh,aluminum,2080,urb,4.173510274
NAM,sfh,aluminum,2080,sub,4.458819085
NAM,sfh,aluminum,2085,rur,4.744127896
NAM,sfh,aluminum,2085,urb,4.173510274
NAM,sfh,aluminum,2085,sub,4.458819085
NAM,sfh,aluminum,2090,rur,4.744127896
NAM,sfh,aluminum,2090,urb,4.173510274
NAM,sfh,aluminum,2090,sub,4.458819085
NAM,sfh,aluminum,2095,rur,4.744127896
NAM,sfh,aluminum,2095,urb,4.173510274
NAM,sfh,aluminum,2095,sub,4.458819085
NAM,sfh,aluminum,2100,rur,4.744127896
NAM,sfh,aluminum,2100,urb,4.173510274
NAM,sfh,aluminum,2100,sub,4.458819085
NAM,sfh,concrete,2015,rur,716.0925515
NAM,sfh,concrete,2015,urb,793.7764593
NAM,sfh,concrete,2015,sub,754.9345054
NAM,sfh,concrete,2020,rur,716.0925515
NAM,sfh,concrete,2020,urb,793.7764593
NAM,sfh,concrete,2020,sub,754.9345054
NAM,sfh,concrete,2025,rur,716.0925515
NAM,sfh,concrete,2025,urb,793.7764593
NAM,sfh,concrete,2025,sub,754.9345054
NAM,sfh,concrete,2030,rur,716.0925515
NAM,sfh,concrete,2030,urb,793.7764593
NAM,sfh,concrete,2030,sub,754.9345054
NAM,sfh,concrete,2035,rur,716.0925515
NAM,sfh,concrete,2035,urb,793.7764593
NAM,sfh,concrete,2035,sub,754.9345054
NAM,sfh,concrete,2040,rur,716.0925515
NAM,sfh,concrete,2040,urb,793.7764593
NAM,sfh,concrete,2040,sub,754.9345054
NAM,sfh,concrete,2045,rur,716.0925515
NAM,sfh,concrete,2045,urb,793.7764593
NAM,sfh,concrete,2045,sub,754.9345054
NAM,sfh,concrete,2050,rur,716.0925515
NAM,sfh,concrete,2050,urb,793.7764593
NAM,sfh,concrete,2050,sub,754.9345054
NAM,sfh,concrete,2055,rur,716.0925515
NAM,sfh,concrete,2055,urb,793.7764593
NAM,sfh,concrete,2055,sub,754.9345054
NAM,sfh,concrete,2060,rur,716.0925515
NAM,sfh,concrete,2060,urb,793.7764593
NAM,sfh,concrete,2060,sub,754.9345054
NAM,sfh,concrete,2065,rur,716.0925515
NAM,sfh,concrete,2065,urb,793.7764593
NAM,sfh,concrete,2065,sub,754.9345054
NAM,sfh,concrete,2070,rur,716.0925515
NAM,sfh,concrete,2070,urb,793.7764593
NAM,sfh,concrete,2070,sub,754.9345054
NAM,sfh,concrete,2075,rur,716.0925515
NAM,sfh,concrete,2075,urb,793.7764593
NAM,sfh,concrete,2075,sub,754.9345054
NAM,sfh,concrete,2080,rur,716.0925515
NAM,sfh,concrete,2080,urb,793.7764593
NAM,sfh,concrete,2080,sub,754.9345054
NAM,sfh,concrete,2085,rur,716.0925515
NAM,sfh,concrete,2085,urb,793.7764593
NAM,sfh,concrete,2085,sub,754.9345054
NAM,sfh,concrete,2090,rur,716.0925515
NAM,sfh,concrete,2090,urb,793.7764593
NAM,sfh,concrete,2090,sub,754.9345054
NAM,sfh,concrete,2095,rur,716.0925515
NAM,sfh,concrete,2095,urb,793.7764593
NAM,sfh,concrete,2095,sub,754.9345054
NAM,sfh,concrete,2100,rur,716.0925515
NAM,sfh,concrete,2100,urb,793.7764593
NAM,sfh,concrete,2100,sub,754.9345054
NAM,sfh,copper,2015,rur,1.359534753
NAM,sfh,copper,2015,urb,1.14722793
NAM,sfh,copper,2015,sub,1.2533813415
NAM,sfh,copper,2020,rur,1.359534753
NAM,sfh,copper,2020,urb,1.14722793
NAM,sfh,copper,2020,sub,1.2533813415
NAM,sfh,copper,2025,rur,1.359534753
NAM,sfh,copper,2025,urb,1.14722793
NAM,sfh,copper,2025,sub,1.2533813415
NAM,sfh,copper,2030,rur,1.359534753
NAM,sfh,copper,2030,urb,1.14722793
NAM,sfh,copper,2030,sub,1.2533813415
NAM,sfh,copper,2035,rur,1.359534753
NAM,sfh,copper,2035,urb,1.14722793
NAM,sfh,copper,2035,sub,1.2533813415
NAM,sfh,copper,2040,rur,1.359534753
NAM,sfh,copper,2040,urb,1.14722793
