region_gea,year,region_bld,value
WEU,2025,C-WEU-MLT,5.0
WEU,2025,C-WEU-NLD,5.0
WEU,2025,C-WEU-PRT,5.0
WEU,2025,C-WEU-SWE,5.0
WEU,2030,C-WEU-AUT,5.0
WEU,2030,C-WEU-BEL,5.0
WEU,2030,C-WEU-CYP,5.0
WEU,2030,C-WEU-DEU,5.0
WEU,2030,C-WEU-DNK,5.0
WEU,2030,C-WEU-ESP,5.0
WEU,2030,C-WEU-FIN,5.0
WEU,2030,C-WEU-FRA,5.0
WEU,2030,C-WEU-GRC,5.0
WEU,2030,C-WEU-IRL,5.0
WEU,2030,C-WEU-ITA,5.0
WEU,2030,C-WEU-LUX,5.0
WEU,2030,C-WEU-MLT,5.0
WEU,2030,C-WEU-NLD,5.0
WEU,2030,C-WEU-PRT,5.0
WEU,2030,C-WEU-SWE,5.0
WEU,2035,C-WEU-AUT,5.0
WEU,2035,C-WEU-BEL,5.0
WEU,2035,C-WEU-CYP,5.0
WEU,2035,C-WEU-DEU,5.0
WEU,2035,C-WEU-DNK,5.0
WEU,2035,C-WEU-ESP,5.0
WEU,2035,C-WEU-FIN,5.0
WEU,2035,C-WEU-FRA,5.0
WEU,2035,C-WEU-GRC,5.0
WEU,2035,C-WEU-IRL,5.0
WEU,2035,C-WEU-ITA,5.0
WEU,2035,C-WEU-LUX,5.0
WEU,2035,C-WEU-MLT,5.0
WEU,2035,C-WEU-NLD,5.0
WEU,2035,C-WEU-PRT,5.0
WEU,2035,C-WEU-SWE,5.0
WEU,2040,C-WEU-AUT,5.0
WEU,2040,C-WEU-BEL,5.0
WEU,2040,C-WEU-CYP,5.0
WEU,2040,C-WEU-DEU,5.0
WEU,2040,C-WEU-DNK,5.0
WEU,2040,C-WEU-ESP,5.0
WEU,2040,C-WEU-FIN,5.0
WEU,2040,C-WEU-FRA,5.0
WEU,2040,C-WEU-GRC,5.0
WEU,2040,C-WEU-IRL,5.0
WEU,2040,C-WEU-ITA,5.0
WEU,2040,C-WEU-LUX,5.0
WEU,2040,C-WEU-MLT,5.0
WEU,2040,C-WEU-NLD,5.0
WEU,2040,C-WEU-PRT,5.0
WEU,2040,C-WEU-SWE,5.0
WEU,2045,C-WEU-AUT,5.0
WEU,2045,C-WEU-BEL,5.0
WEU,2045,C-WEU-CYP,5.0
WEU,2045,C-WEU-DEU,5.0
WEU,2045,C-WEU-DNK,5.0
WEU,2045,C-WEU-ESP,5.0
WEU,2045,C-WEU-FIN,5.0
WEU,2045,C-WEU-FRA,5.0
WEU,2045,C-WEU-GRC,5.0
WEU,2045,C-WEU-IRL,5.0
WEU,2045,C-WEU-ITA,5.0
WEU,2045,C-WEU-LUX,5.0
WEU,2045,C-WEU-MLT,5.0
WEU,2045,C-WEU-NLD,5.0
WEU,2045,C-WEU-PRT,5.0
WEU,2045,C-WEU-SWE,5.0
WEU,2050,C-WEU-AUT,5.0
WEU,2050,C-WEU-BEL,5.0
WEU,2050,C-WEU-CYP,5.0
WEU,2050,C-WEU-DEU,5.0
WEU,2050,C-WEU-DNK,5.0
WEU,2050,C-WEU-ESP,5.0
WEU,2050,C-WEU-FIN,5.0
WEU,2050,C-WEU-FRA,5.0
WEU,2050,C-WEU-GRC,5.0
WEU,2050,C-WEU-IRL,5.0
WEU,2050,C-WEU-ITA,5.0
WEU,2050,C-WEU-LUX,5.0
WEU,2050,C-WEU-MLT,5.0
WEU,2050,C-WEU-NLD,5.0
WEU,2050,C-WEU-PRT,5.0
WEU,2050,C-WEU-SWE,5.0
WEU,2055,C-WEU-AUT,5.0
WEU,2055,C-WEU-BEL,5.0
WEU,2055,C-WEU-CYP,5.0
WEU,2055,C-WEU-DEU,5.0
WEU,2055,C-WEU-DNK,5.0
WEU,2055,C-WEU-ESP,5.0
WEU,2055,C-WEU-FIN,5.0
WEU,2055,C-WEU-FRA,5.0
WEU,2055,C-WEU-GRC,5.0
WEU,2055,C-WEU-IRL,5.0
WEU,2055,C-WEU-ITA,5.0
WEU,2055,C-WEU-LUX,5.0
WEU,2055,C-WEU-MLT,5.0
WEU,2055,C-WEU-NLD,5.0
WEU,2055,C-WEU-PRT,5.0
WEU,2055,C-WEU-SWE,5.0
WEU,2060,C-WEU-AUT,5.0
WEU,2060,C-WEU-BEL,5.0
WEU,2060,C-WEU-CYP,5.0
WEU,2060,C-WEU-DEU,5.0
WEU,2060,C-WEU-DNK,5.0
WEU,2060,C-WEU-ESP,5.0
WEU,2060,C-WEU-FIN,5.0
WEU,2060,C-WEU-FRA,5.0
WEU,2060,C-WEU-GRC,5.0
WEU,2060,C-WEU-IRL,5.0
WEU,2060,C-WEU-ITA,5.0
WEU,2060,C-WEU-LUX,5.0
WEU,2060,C-WEU-MLT,5.0
WEU,2060,C-WEU-NLD,5.0
WEU,2060,C-WEU-PRT,5.0
