urt,year,region_bld,region_nuts,clim,arch,Occupied conventional dwellings,Unoccupied conventional dwellings,mat
rur,2050,C-WEU-FRA,C-WEU-FRA-FRB02,Zone_4A Mixed Humid,mfh,0.2744105845003465,0.3004582836336242,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRB02,Zone_4A Mixed Humid,sfh,0.7255894154996535,0.6995417163663757,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRB03,Zone_4A Mixed Humid,mfh,0.16907733526568205,0.1750487329434698,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRB03,Zone_4A Mixed Humid,sfh,0.830922664734318,0.8249512670565302,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRB04,Zone_4A Mixed Humid,mfh,0.3751823340149776,0.4367688148838055,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRB04,Zone_4A Mixed Humid,sfh,0.6248176659850224,0.5632311851161945,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRB05,Zone_4A Mixed Humid,mfh,0.20147436494524357,0.26660771841752473,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRB05,Zone_4A Mixed Humid,sfh,0.7985256350547564,0.7333922815824753,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRB06,Zone_4A Mixed Humid,mfh,0.3284988811884777,0.37274206504500423,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRB06,Zone_4A Mixed Humid,sfh,0.6715011188115223,0.6272579349549958,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC11,Zone_4A Mixed Humid,mfh,0.4788452201920686,0.43249792136833354,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC11,Zone_4A Mixed Humid,sfh,0.5211547798079315,0.5675020786316665,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC12,Zone_4A Mixed Humid,mfh,0.22955820722351694,0.20057833214889603,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC12,Zone_4A Mixed Humid,sfh,0.7704417927764831,0.799421667851104,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC13,Zone_4A Mixed Humid,mfh,0.31723936418887333,0.317809909109051,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC13,Zone_4A Mixed Humid,sfh,0.6827606358111267,0.682190090890949,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC14,Zone_4A Mixed Humid,mfh,0.23941708963424205,0.2046652461590221,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC14,Zone_4A Mixed Humid,sfh,0.760582910365758,0.795334753840978,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC21,Zone_5A Cool Humid,mfh,0.47646338437402447,0.6124514885879447,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC21,Zone_5A Cool Humid,sfh,0.5235366156259755,0.38754851141205526,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC22,Zone_5A Cool Humid,mfh,0.32737862786968336,0.4398328054077001,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC22,Zone_5A Cool Humid,sfh,0.6726213721303167,0.5601671945922999,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC23,Zone_4A Mixed Humid,mfh,0.21720782258819127,0.2479498756104303,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC23,Zone_4A Mixed Humid,sfh,0.7827921774118087,0.7520501243895698,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC24,Zone_5A Cool Humid,mfh,0.5084317426641499,0.7151982378854626,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRC24,Zone_5A Cool Humid,sfh,0.49156825733585013,0.28480176211453745,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRD11,Zone_4A Mixed Humid,mfh,0.3596572860829859,0.5981415962869969,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRD11,Zone_4A Mixed Humid,sfh,0.6403427139170141,0.40185840371300313,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRD12,Zone_4A Mixed Humid,mfh,0.19113809194607673,0.22874637168397186,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRD12,Zone_4A Mixed Humid,sfh,0.8088619080539232,0.7712536283160282,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRD13,Zone_4A Mixed Humid,mfh,0.19626081005412804,0.22501057380516,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRD13,Zone_4A Mixed Humid,sfh,0.803739189945872,0.77498942619484,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRD21,Zone_4A Mixed Humid,mfh,0.2304681696264496,0.2979836919698138,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRD21,Zone_4A Mixed Humid,sfh,0.7695318303735504,0.7020163080301862,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRD22,Zone_4A Mixed Humid,mfh,0.43656052395821554,0.540571659939519,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRD22,Zone_4A Mixed Humid,sfh,0.5634394760417845,0.45942834006048106,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRE11,Zone_4A Mixed Humid,mfh,0.32852201168561024,0.4893079893079893,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRE11,Zone_4A Mixed Humid,sfh,0.6714779883143898,0.5106920106920106,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRE12,Zone_4A Mixed Humid,mfh,0.19701391899051196,0.4348020022798236,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRE12,Zone_4A Mixed Humid,sfh,0.802986081009488,0.5651979977201764,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRE21,Zone_4A Mixed Humid,mfh,0.23550212777021814,0.3102657342657343,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRE21,Zone_4A Mixed Humid,sfh,0.7644978722297818,0.6897342657342658,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRE22,Zone_4A Mixed Humid,mfh,0.34247891440865724,0.419028172511796,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRE22,Zone_4A Mixed Humid,sfh,0.6575210855913427,0.580971827488204,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRE23,Zone_4A Mixed Humid,mfh,0.26244166732579294,0.3953501810617151,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRE23,Zone_4A Mixed Humid,sfh,0.7375583326742071,0.604649818938285,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF11,Zone_4A Mixed Humid,mfh,0.5679780046213695,0.6646832662028561,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF11,Zone_4A Mixed Humid,sfh,0.43202199537863056,0.3353167337971439,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF12,Zone_5A Cool Humid,mfh,0.48402864747558183,0.6465002768606058,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF12,Zone_5A Cool Humid,sfh,0.5159713525244182,0.3534997231393942,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF21,Zone_5A Cool Humid,mfh,0.26462457605439704,0.3406628281271252,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF21,Zone_5A Cool Humid,sfh,0.735375423945603,0.6593371718728748,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF22,Zone_4A Mixed Humid,mfh,0.3615106530266903,0.3798175934098264,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF22,Zone_4A Mixed Humid,sfh,0.6384893469733097,0.6201824065901735,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF23,Zone_4A Mixed Humid,mfh,0.4390071518078181,0.5405535114381699,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF23,Zone_4A Mixed Humid,sfh,0.5609928481921819,0.4594464885618301,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF24,Zone_4A Mixed Humid,mfh,0.24005556726988578,0.26459582756676403,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF24,Zone_4A Mixed Humid,sfh,0.7599444327301142,0.735404172433236,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF31,Zone_5A Cool Humid,mfh,0.4487041483812205,0.6187822685195715,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF31,Zone_5A Cool Humid,sfh,0.5512958516187795,0.3812177314804285,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF32,Zone_4A Mixed Humid,mfh,0.21533934021217846,0.2901062377589174,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF32,Zone_4A Mixed Humid,sfh,0.7846606597878215,0.7098937622410826,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF33,Zone_4A Mixed Humid,mfh,0.4446117858172846,0.5896679700444032,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF33,Zone_4A Mixed Humid,sfh,0.5553882141827154,0.4103320299555968,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF34,Zone_5A Cool Humid,mfh,0.3225473628035222,0.43920137209200055,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRF34,Zone_5A Cool Humid,sfh,0.6774526371964779,0.5607986279079995,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRG01,Zone_4A Mixed Humid,mfh,0.3845998334032553,0.5042685897282317,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRG01,Zone_4A Mixed Humid,sfh,0.6154001665967447,0.4957314102717682,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRG02,Zone_4A Mixed Humid,mfh,0.3034870493524676,0.3972064600611087,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRG02,Zone_4A Mixed Humid,sfh,0.6965129506475324,0.6027935399388913,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRG03,Zone_4A Mixed Humid,mfh,0.1894447068548149,0.22142121524201855,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRG03,Zone_4A Mixed Humid,sfh,0.8105552931451852,0.7785787847579815,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRG04,Zone_4A Mixed Humid,mfh,0.2352451645473764,0.30868456212802137,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRG04,Zone_4A Mixed Humid,sfh,0.7647548354526236,0.6913154378719786,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRG05,Zone_4A Mixed Humid,mfh,0.1355586418274987,0.322818669604432,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRG05,Zone_4A Mixed Humid,sfh,0.8644413581725013,0.6771813303955679,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRH01,Zone_4A Mixed Humid,mfh,0.1765212399540758,0.23716685790989198,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRH01,Zone_4A Mixed Humid,sfh,0.8234787600459242,0.762833142090108,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRH02,Zone_4A Mixed Humid,mfh,0.2729408922458394,0.2875815292811546,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRH02,Zone_4A Mixed Humid,sfh,0.7270591077541606,0.7124184707188455,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRH03,Zone_4A Mixed Humid,mfh,0.40087018729437635,0.48782357601001713,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRH03,Zone_4A Mixed Humid,sfh,0.5991298127056237,0.5121764239899829,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRH04,Zone_4A Mixed Humid,mfh,0.2666579653316597,0.32742195638294297,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRH04,Zone_4A Mixed Humid,sfh,0.7333420346683402,0.672578043617057,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRI11,Zone_4A Mixed Humid,mfh,0.17473081640997684,0.19943707277844794,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRI11,Zone_4A Mixed Humid,sfh,0.8252691835900232,0.8005629272215521,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRI12,Zone_3A Warm Humid,mfh,0.4078337284595774,0.4460123809868588,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRI12,Zone_3A Warm Humid,sfh,0.5921662715404227,0.5539876190131412,perm
