,region_bld,region_gea,urt,clim,mat,arch,yr_con,bld_age,value
172,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1975,p2,0.1063586246658628
173,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1980,p2,0.118937039955569
174,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1985,p2,0.0389746389824491
175,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1990,p2,0.0490877517353727
176,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1995,p3,0.0676039941996132
177,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,2000,p3,0.0657725316813301
178,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,2005,p3,0.046963457101334
179,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,2010,p3,0.0568961190153261
180,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,2015,p3,0.0337497948918271
181,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,2020,p3,0.0405878079151583
182,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1945,p1,0.1887102881137315
183,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1960,p2,0.0832588685836736
184,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1965,p2,0.0436754725647716
185,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1970,p2,0.0594236105939796
186,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1975,p2,0.1063586246658628
187,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1980,p2,0.118937039955569
188,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1985,p2,0.0389746389824491
189,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1990,p2,0.0490877517353727
190,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,1995,p3,0.0676039941996132
191,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,2000,p3,0.0657725316813301
192,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,sfh,2005,p3,0.046963457101334
