clim,region_gea,year,value,region_bld,region_nuts
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE115
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE116
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE117
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE118
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE119
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE11A
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE11B
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE11C
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE11D
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE121
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE122
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE123
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE124
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE125
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE126
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE127
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE128
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE129
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE12A
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE12B
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE12C
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE131
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE132
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE133
Zone_4A Mixed Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE134
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE135
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE136
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE137
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE138
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE139
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE13A
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE141
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE142
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE143
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE144
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE145
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE146
