region_bld,clim,urt,inc_cl,mat,year,region_nuts,value
C-EEU-CZE,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-CZE-CZ041,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-CZE-CZ042,0.0
C-EEU-CZE,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-CZE-CZ042,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-CZE-CZ051,0.0
C-EEU-CZE,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-CZE-CZ051,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-CZE-CZ052,0.0
C-EEU-CZE,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-CZE-CZ052,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-CZE-CZ053,0.0
C-EEU-CZE,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-CZE-CZ053,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-CZE-CZ063,0.0
C-EEU-CZE,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-CZE-CZ063,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-CZE-CZ064,0.0
C-EEU-CZE,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-CZE-CZ064,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-CZE-CZ071,0.0
C-EEU-CZE,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-CZE-CZ071,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-CZE-CZ072,0.0
C-EEU-CZE,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-CZE-CZ072,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-CZE-CZ080,0.0
C-EEU-CZE,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-CZE-CZ080,0.0
C-WEU-DEU,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-DEU-DE111,0.0
C-WEU-DEU,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-DEU-DE111,0.0
C-WEU-DEU,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-DEU-DE112,0.0
C-WEU-DEU,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-DEU-DE112,0.0
C-WEU-DEU,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-DEU-DE113,0.0
C-WEU-DEU,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-DEU-DE113,0.0
C-WEU-DEU,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-DEU-DE114,0.0
C-WEU-DEU,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-DEU-DE114,0.0
C-WEU-DEU,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-DEU-DE115,0.0
C-WEU-DEU,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-DEU-DE115,0.0
C-WEU-DEU,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-DEU-DE116,0.0
C-WEU-DEU,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-DEU-DE116,0.0
C-WEU-DEU,Zone_5A Cool Humid,rur,q1,sub,2015,C-WEU-DEU-DE117,0.0
C-WEU-DEU,Zone_5A Cool Humid,urb,q1,sub,2015,C-WEU-DEU-DE117,0.0
