region_bld,clim,urt,inc_cl,mat,year,value
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2085,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2090,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2095,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2100,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2015,0.009690778247543374
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2020,0.009690778247543374
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2025,0.009558874532999636
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2030,0.009441205884906344
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2035,0.009333442354649474
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2040,0.00923517013833322
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2045,0.00914025484167581
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2050,0.009043530873934426
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2055,0.008942226211444028
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2060,0.008842487134927699
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2065,0.00875376968051634
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2070,0.008680894946845777
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2075,0.008625846650358909
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2080,0.008582102012927818
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2085,0.008543465358209027
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2090,0.008501737120726657
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2095,0.008457669473344719
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,perm,2100,0.00841369126135526
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2015,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2020,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2025,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2030,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2035,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2040,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2045,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2050,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2055,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2060,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2065,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2070,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2075,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2080,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2085,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2090,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2095,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q2,sub,2100,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2015,0.009690778247543374
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2020,0.009690778247543374
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2025,0.009558874532999636
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2030,0.009441205884906344
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2035,0.009333442354649474
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2040,0.00923517013833322
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2045,0.00914025484167581
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2050,0.009043530873934426
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2055,0.008942226211444028
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2060,0.008842487134927699
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2065,0.00875376968051634
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2070,0.008680894946845777
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2075,0.008625846650358909
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2080,0.008582102012927818
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2085,0.008543465358209027
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2090,0.008501737120726657
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2095,0.008457669473344719
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,perm,2100,0.00841369126135526
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2015,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2020,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2025,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2030,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2035,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2040,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2045,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2050,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2055,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2060,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2065,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2070,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2075,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2080,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2085,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2090,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2095,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q3,sub,2100,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2015,0.0021450814419970267
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2020,0.0021450814419970267
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2025,0.0021227560769923963
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2030,0.002107500438398724
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2035,0.002094117572219336
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2040,0.002080937102524087
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2045,0.002068347516967046
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2050,0.002054657581803582
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2055,0.002040981555559192
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2060,0.0020292650522857106
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2065,0.0020210398369714814
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2070,0.002018036267911511
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2075,0.0020172149190759337
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2080,0.0020183331243009074
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2085,0.0020184311909366235
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2090,0.002016332091233936
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2095,0.0020132247503833554
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,perm,2100,0.0020092132098212803
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2015,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2020,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2025,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2030,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2035,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2040,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2045,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2050,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2055,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2060,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2065,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2070,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2075,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2080,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2085,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2090,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2095,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q1,sub,2100,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2015,0.0021450814419970267
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2020,0.0021450814419970267
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2025,0.0021227560769923963
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2030,0.002107500438398724
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2035,0.002094117572219336
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2040,0.002080937102524087
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2045,0.002068347516967046
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2050,0.002054657581803582
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2055,0.002040981555559192
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2060,0.0020292650522857106
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2065,0.0020210398369714814
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2070,0.002018036267911511
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2075,0.0020172149190759337
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2080,0.0020183331243009074
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2085,0.0020184311909366235
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2090,0.002016332091233936
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2095,0.0020132247503833554
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,perm,2100,0.0020092132098212803
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2015,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2020,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2025,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2030,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2035,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2040,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2045,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2050,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2055,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2060,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2065,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2070,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2075,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2080,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2085,0.0
C-WEU-ITA,Zone_6A Cold Humid,rur,q2,sub,2090,0.0
