,year,region_bld,clim,arch,urt,value,region_gea
441,2020,C-WEU-GRC,Zone_4A Mixed Humid,sfh,urb,161133.0,WEU
442,2020,C-WEU-GRC,Zone_4C Mixed Marine,mfh,urb,7278.0,WEU
443,2020,C-WEU-GRC,Zone_4C Mixed Marine,sfh,urb,7576.0,WEU
444,2020,C-WEU-GRC,Zone_5A Cool Humid,mfh,rur,4231.0,WEU
445,2020,C-WEU-GRC,Zone_5A Cool Humid,mfh,urb,5122.0,WEU
446,2020,C-WEU-GRC,Zone_5A Cool Humid,sfh,rur,6072.0,WEU
447,2020,C-WEU-GRC,Zone_5A Cool Humid,sfh,urb,4363.0,WEU
448,2020,C-WEU-GRC,Zone_5C Cool Marine,mfh,urb,16119.0,WEU
449,2020,C-WEU-GRC,Zone_5C Cool Marine,sfh,urb,12453.0,WEU
450,2020,C-WEU-IRL,Zone_4A Mixed Humid,mfh,rur,7203.0,WEU
451,2020,C-WEU-IRL,Zone_4A Mixed Humid,sfh,rur,41993.0,WEU
452,2020,C-WEU-IRL,Zone_5A Cool Humid,mfh,rur,23643.0,WEU
453,2020,C-WEU-IRL,Zone_5A Cool Humid,mfh,urb,26534.0,WEU
454,2020,C-WEU-IRL,Zone_5A Cool Humid,sfh,rur,132098.0,WEU
455,2020,C-WEU-IRL,Zone_5A Cool Humid,sfh,urb,44122.0,WEU
456,2020,C-WEU-ITA,Zone_3A Warm Humid,mfh,rur,397029.0,WEU
457,2020,C-WEU-ITA,Zone_3A Warm Humid,mfh,urb,3095047.0,WEU
458,2020,C-WEU-ITA,Zone_3A Warm Humid,sfh,rur,183329.0,WEU
459,2020,C-WEU-ITA,Zone_3A Warm Humid,sfh,urb,921095.0,WEU
460,2020,C-WEU-ITA,Zone_4A Mixed Humid,mfh,rur,340871.0,WEU
461,2020,C-WEU-ITA,Zone_4A Mixed Humid,mfh,urb,2050940.0,WEU
462,2020,C-WEU-ITA,Zone_4A Mixed Humid,sfh,rur,149315.0,WEU
463,2020,C-WEU-ITA,Zone_4A Mixed Humid,sfh,urb,474494.0,WEU
464,2020,C-WEU-ITA,Zone_4C Mixed Marine,mfh,rur,21178.0,WEU
465,2020,C-WEU-ITA,Zone_4C Mixed Marine,mfh,urb,631663.0,WEU
466,2020,C-WEU-ITA,Zone_4C Mixed Marine,sfh,rur,11087.0,WEU
467,2020,C-WEU-ITA,Zone_4C Mixed Marine,sfh,urb,114584.0,WEU
468,2020,C-WEU-ITA,Zone_5A Cool Humid,mfh,urb,417198.0,WEU
469,2020,C-WEU-ITA,Zone_5A Cool Humid,sfh,urb,109420.0,WEU
470,2020,C-WEU-ITA,Zone_5C Cool Marine,mfh,urb,81959.0,WEU
471,2020,C-WEU-ITA,Zone_5C Cool Marine,sfh,urb,36323.0,WEU
472,2020,C-WEU-ITA,Zone_6A Cold Humid,mfh,urb,63728.0,WEU
473,2020,C-WEU-ITA,Zone_6A Cold Humid,sfh,urb,12220.0,WEU
474,2020,C-WEU-ITA,Zone_7A Very cold Humid,mfh,rur,68741.0,WEU
475,2020,C-WEU-ITA,Zone_7A Very cold Humid,mfh,urb,307583.0,WEU
476,2020,C-WEU-ITA,Zone_7A Very cold Humid,sfh,rur,17215.0,WEU
477,2020,C-WEU-ITA,Zone_7A Very cold Humid,sfh,urb,76753.0,WEU
478,2020,C-WEU-LUX,Zone_5A Cool Humid,mfh,urb,15101.0,WEU
479,2020,C-WEU-LUX,Zone_5A Cool Humid,sfh,urb,236.0,WEU
480,2020,C-WEU-MLT,Zone_3A Warm Humid,mfh,urb,0.0,WEU
481,2020,C-WEU-MLT,Zone_3A Warm Humid,sfh,urb,0.0,WEU
