region_bld,clim,inc_cl,year,urt,value
C-WEU-DEU,Zone_5A Cool Humid,q3,2095,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2100,rur,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2100,sub,0.22558599999999998
C-WEU-DEU,Zone_5A Cool Humid,q3,2100,urb,0.225586
C-WEU-DEU,Zone_6A Cold Humid,q1,2015,rur,0.08327195
C-WEU-DEU,Zone_6A Cold Humid,q1,2015,sub,0.14086238
C-WEU-DEU,Zone_6A Cold Humid,q1,2015,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2020,rur,0.09588754000000001
C-WEU-DEU,Zone_6A Cold Humid,q1,2020,sub,0.15003822
C-WEU-DEU,Zone_6A Cold Humid,q1,2020,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2025,rur,0.1056763
C-WEU-DEU,Zone_6A Cold Humid,q1,2025,sub,0.15772314999999998
C-WEU-DEU,Zone_6A Cold Humid,q1,2025,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2030,rur,0.11211690000000002
C-WEU-DEU,Zone_6A Cold Humid,q1,2030,sub,0.1632552
C-WEU-DEU,Zone_6A Cold Humid,q1,2030,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2035,rur,0.12357890000000002
C-WEU-DEU,Zone_6A Cold Humid,q1,2035,sub,0.1702029
C-WEU-DEU,Zone_6A Cold Humid,q1,2035,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2040,rur,0.1405128
C-WEU-DEU,Zone_6A Cold Humid,q1,2040,sub,0.1801902
C-WEU-DEU,Zone_6A Cold Humid,q1,2040,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2045,rur,0.15466409999999997
C-WEU-DEU,Zone_6A Cold Humid,q1,2045,sub,0.18858245
C-WEU-DEU,Zone_6A Cold Humid,q1,2045,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2050,rur,0.1690163
C-WEU-DEU,Zone_6A Cold Humid,q1,2050,sub,0.1963321
C-WEU-DEU,Zone_6A Cold Humid,q1,2050,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2055,rur,0.1791022
C-WEU-DEU,Zone_6A Cold Humid,q1,2055,sub,0.2018436
C-WEU-DEU,Zone_6A Cold Humid,q1,2055,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2060,rur,0.19257740000000004
C-WEU-DEU,Zone_6A Cold Humid,q1,2060,sub,0.20884015
C-WEU-DEU,Zone_6A Cold Humid,q1,2060,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2065,rur,0.20069170000000003
C-WEU-DEU,Zone_6A Cold Humid,q1,2065,sub,0.21297869999999997
C-WEU-DEU,Zone_6A Cold Humid,q1,2065,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2070,rur,0.20913080000000003
C-WEU-DEU,Zone_6A Cold Humid,q1,2070,sub,0.21729575
C-WEU-DEU,Zone_6A Cold Humid,q1,2070,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2075,rur,0.213508
C-WEU-DEU,Zone_6A Cold Humid,q1,2075,sub,0.21952275
C-WEU-DEU,Zone_6A Cold Humid,q1,2075,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2080,rur,0.2177619
C-WEU-DEU,Zone_6A Cold Humid,q1,2080,sub,0.2216599
C-WEU-DEU,Zone_6A Cold Humid,q1,2080,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2085,rur,0.2207184
C-WEU-DEU,Zone_6A Cold Humid,q1,2085,sub,0.22314625
C-WEU-DEU,Zone_6A Cold Humid,q1,2085,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2090,rur,0.22245339999999997
C-WEU-DEU,Zone_6A Cold Humid,q1,2090,sub,0.22401695
C-WEU-DEU,Zone_6A Cold Humid,q1,2090,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2095,rur,0.223715
C-WEU-DEU,Zone_6A Cold Humid,q1,2095,sub,0.2246494
C-WEU-DEU,Zone_6A Cold Humid,q1,2095,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q1,2100,rur,0.22449609999999998
C-WEU-DEU,Zone_6A Cold Humid,q1,2100,sub,0.22504059999999998
C-WEU-DEU,Zone_6A Cold Humid,q1,2100,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2015,rur,0.1963928
C-WEU-DEU,Zone_6A Cold Humid,q2,2015,sub,0.21078695000000003
C-WEU-DEU,Zone_6A Cold Humid,q2,2015,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2020,rur,0.2068407
C-WEU-DEU,Zone_6A Cold Humid,q2,2020,sub,0.21610619999999997
C-WEU-DEU,Zone_6A Cold Humid,q2,2020,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2025,rur,0.211474
C-WEU-DEU,Zone_6A Cold Humid,q2,2025,sub,0.21847979999999997
C-WEU-DEU,Zone_6A Cold Humid,q2,2025,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2030,rur,0.21462060000000002
C-WEU-DEU,Zone_6A Cold Humid,q2,2030,sub,0.22007655
C-WEU-DEU,Zone_6A Cold Humid,q2,2030,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2035,rur,0.21835280000000004
C-WEU-DEU,Zone_6A Cold Humid,q2,2035,sub,0.22195635
C-WEU-DEU,Zone_6A Cold Humid,q2,2035,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2040,rur,0.22151030000000002
C-WEU-DEU,Zone_6A Cold Humid,q2,2040,sub,0.2235432
C-WEU-DEU,Zone_6A Cold Humid,q2,2040,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2045,rur,0.22320929999999997
C-WEU-DEU,Zone_6A Cold Humid,q2,2045,sub,0.22439595
C-WEU-DEU,Zone_6A Cold Humid,q2,2045,urb,0.0
C-WEU-DEU,Zone_6A Cold Humid,q2,2050,rur,0.2240969
