region_bld,region_nuts,urt,clim,value
C-EEU-BGR,C-EEU-BGR-BG334,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG341,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG341,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG342,rur,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG342,urb,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG343,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG343,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG344,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG344,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG411,rur,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG411,urb,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG412,rur,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG412,urb,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG413,rur,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG413,urb,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG414,rur,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG414,urb,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG415,rur,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG415,urb,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG421,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG421,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG422,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG422,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG423,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG423,urb,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG424,rur,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG424,urb,Zone_5A Cool Humid,1
C-EEU-BGR,C-EEU-BGR-BG425,rur,Zone_4A Mixed Humid,1
C-EEU-BGR,C-EEU-BGR-BG425,urb,Zone_4A Mixed Humid,1
C-EEU-CZE,C-EEU-CZE-CZ010,rur,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ010,urb,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ020,rur,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ020,urb,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ031,rur,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ031,urb,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ032,rur,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ032,urb,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ041,rur,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ041,urb,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ042,rur,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ042,urb,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ051,rur,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ051,urb,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ052,rur,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ052,urb,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ053,rur,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ053,urb,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ063,rur,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ063,urb,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ064,rur,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ064,urb,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ071,rur,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ071,urb,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ072,rur,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ072,urb,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ080,rur,Zone_5A Cool Humid,1
C-EEU-CZE,C-EEU-CZE-CZ080,urb,Zone_5A Cool Humid,1
C-EEU-EST,C-EEU-EST-EE001,rur,Zone_6A Cold Humid,1
C-EEU-EST,C-EEU-EST-EE001,urb,Zone_6A Cold Humid,1
C-EEU-EST,C-EEU-EST-EE004,rur,Zone_6A Cold Humid,1
C-EEU-EST,C-EEU-EST-EE004,urb,Zone_6A Cold Humid,1
C-EEU-EST,C-EEU-EST-EE008,rur,Zone_6A Cold Humid,1
C-EEU-EST,C-EEU-EST-EE008,urb,Zone_6A Cold Humid,1
C-EEU-EST,C-EEU-EST-EE009,rur,Zone_6A Cold Humid,1
C-EEU-EST,C-EEU-EST-EE009,urb,Zone_6A Cold Humid,1
C-EEU-EST,C-EEU-EST-EE00A,rur,Zone_6A Cold Humid,1
C-EEU-EST,C-EEU-EST-EE00A,urb,Zone_6A Cold Humid,1
C-EEU-HRV,C-EEU-HRV-HR021,rur,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR021,urb,Zone_4A Mixed Humid,1
C-EEU-HRV,C-EEU-HRV-HR022,rur,Zone_4A Mixed Humid,1
