region_bld,region_nuts,clim,arch,urt,value
C-EEU-CZE,C-EEU-CZE-CZ064,Zone_5A Cool Humid,mfh,rur,24832.5
C-EEU-CZE,C-EEU-CZE-CZ064,Zone_5A Cool Humid,sfh,urb,16434.5
C-EEU-CZE,C-EEU-CZE-CZ064,Zone_5A Cool Humid,sfh,rur,16434.5
C-EEU-CZE,C-EEU-CZE-CZ071,Zone_5A Cool Humid,mfh,urb,16194.0
C-EEU-CZE,C-EEU-CZE-CZ071,Zone_5A Cool Humid,mfh,rur,16194.0
C-EEU-CZE,C-EEU-CZE-CZ071,Zone_5A Cool Humid,sfh,urb,8816.5
C-EEU-CZE,C-EEU-CZE-CZ071,Zone_5A Cool Humid,sfh,rur,8816.5
C-EEU-CZE,C-EEU-CZE-CZ072,Zone_5A Cool Humid,mfh,urb,14134.0
C-EEU-CZE,C-EEU-CZE-CZ072,Zone_5A Cool Humid,mfh,rur,14134.0
C-EEU-CZE,C-EEU-CZE-CZ072,Zone_5A Cool Humid,sfh,urb,10175.5
C-EEU-CZE,C-EEU-CZE-CZ072,Zone_5A Cool Humid,sfh,rur,10175.5
C-EEU-CZE,C-EEU-CZE-CZ080,Zone_5A Cool Humid,mfh,urb,25843.5
C-EEU-CZE,C-EEU-CZE-CZ080,Zone_5A Cool Humid,mfh,rur,25843.5
C-EEU-CZE,C-EEU-CZE-CZ080,Zone_5A Cool Humid,sfh,urb,9238.5
C-EEU-CZE,C-EEU-CZE-CZ080,Zone_5A Cool Humid,sfh,rur,9238.5
C-EEU-EST,C-EEU-EST-EE001,Zone_6A Cold Humid,mfh,urb,26300.5
C-EEU-EST,C-EEU-EST-EE001,Zone_6A Cold Humid,mfh,rur,26300.5
C-EEU-EST,C-EEU-EST-EE001,Zone_6A Cold Humid,sfh,urb,4265.0
C-EEU-EST,C-EEU-EST-EE001,Zone_6A Cold Humid,sfh,rur,4265.0
C-EEU-EST,C-EEU-EST-EE004,Zone_6A Cold Humid,mfh,urb,6706.5
C-EEU-EST,C-EEU-EST-EE004,Zone_6A Cold Humid,mfh,rur,6706.5
C-EEU-EST,C-EEU-EST-EE004,Zone_6A Cold Humid,sfh,urb,5477.5
C-EEU-EST,C-EEU-EST-EE004,Zone_6A Cold Humid,sfh,rur,5477.5
C-EEU-EST,C-EEU-EST-EE008,Zone_6A Cold Humid,mfh,urb,14605.0
C-EEU-EST,C-EEU-EST-EE008,Zone_6A Cold Humid,mfh,rur,14605.0
