region_bld,region_gea,region_nuts,urt,clim,mat,arch,yr_con,bld_age,value
C-EEU-HRV,EEU,C-EEU-HRV-HR025,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.0288234994135346
C-EEU-HRV,EEU,C-EEU-HRV-HR025,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.02521291243816615
C-EEU-HRV,EEU,C-EEU-HRV-HR026,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.04392284888738789
C-EEU-HRV,EEU,C-EEU-HRV-HR026,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.05613719088896394
C-EEU-HRV,EEU,C-EEU-HRV-HR026,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.35164546512064243
C-EEU-HRV,EEU,C-EEU-HRV-HR026,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.353240271679988
C-EEU-HRV,EEU,C-EEU-HRV-HR026,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.13745356298547787
C-EEU-HRV,EEU,C-EEU-HRV-HR026,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.032871777552628614
C-EEU-HRV,EEU,C-EEU-HRV-HR026,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.024728882884911253
C-EEU-HRV,EEU,C-EEU-HRV-HR027,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.07337859652454658
C-EEU-HRV,EEU,C-EEU-HRV-HR027,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.1012486943310227
C-EEU-HRV,EEU,C-EEU-HRV-HR027,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.4118554743139303
C-EEU-HRV,EEU,C-EEU-HRV-HR027,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.2942503086126674
C-EEU-HRV,EEU,C-EEU-HRV-HR027,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.07340233596049758
C-EEU-HRV,EEU,C-EEU-HRV-HR027,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.023763175386952808
C-EEU-HRV,EEU,C-EEU-HRV-HR027,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.02210141487038268
C-EEU-HRV,EEU,C-EEU-HRV-HR028,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.03542256046539427
C-EEU-HRV,EEU,C-EEU-HRV-HR028,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.08321711758377495
C-EEU-HRV,EEU,C-EEU-HRV-HR028,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.43680519584014027
C-EEU-HRV,EEU,C-EEU-HRV-HR028,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.30768617763079253
C-EEU-HRV,EEU,C-EEU-HRV-HR028,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.09487189703948679
C-EEU-HRV,EEU,C-EEU-HRV-HR028,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.02231342391520899
C-EEU-HRV,EEU,C-EEU-HRV-HR028,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.019683627525202214
C-EEU-HRV,EEU,C-EEU-HRV-HR031,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.1919894259678125
C-EEU-HRV,EEU,C-EEU-HRV-HR031,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.06506380721007511
C-EEU-HRV,EEU,C-EEU-HRV-HR031,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.34251114648199343
C-EEU-HRV,EEU,C-EEU-HRV-HR031,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.22884960859326278
C-EEU-HRV,EEU,C-EEU-HRV-HR031,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.10845829493730977
C-EEU-HRV,EEU,C-EEU-HRV-HR031,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.03323932125138458
C-EEU-HRV,EEU,C-EEU-HRV-HR031,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.02988839555816183
C-EEU-HRV,EEU,C-EEU-HRV-HR032,urb,Zone_5A Cool Humid,perm,mfh,1945,p1,0.07146676171805383
C-EEU-HRV,EEU,C-EEU-HRV-HR032,urb,Zone_5A Cool Humid,perm,mfh,1960,p2,0.10627933226400522
C-EEU-HRV,EEU,C-EEU-HRV-HR032,urb,Zone_5A Cool Humid,perm,mfh,1980,p2,0.3405215944870195
C-EEU-HRV,EEU,C-EEU-HRV-HR032,urb,Zone_5A Cool Humid,perm,mfh,2000,p3,0.26964890393869184
C-EEU-HRV,EEU,C-EEU-HRV-HR032,urb,Zone_5A Cool Humid,perm,mfh,2010,p3,0.13723044020673678
C-EEU-HRV,EEU,C-EEU-HRV-HR032,urb,Zone_5A Cool Humid,perm,mfh,2015,p3,0.0414661676468841
C-EEU-HRV,EEU,C-EEU-HRV-HR032,urb,Zone_5A Cool Humid,perm,mfh,2020,p3,0.03338679973860868
C-EEU-HRV,EEU,C-EEU-HRV-HR033,urb,Zone_4C Mixed Marine,perm,mfh,1945,p1,0.06079842008745944
C-EEU-HRV,EEU,C-EEU-HRV-HR033,urb,Zone_4C Mixed Marine,perm,mfh,1960,p2,0.04787346593313584
C-EEU-HRV,EEU,C-EEU-HRV-HR033,urb,Zone_4C Mixed Marine,perm,mfh,1980,p2,0.31264988009592326
C-EEU-HRV,EEU,C-EEU-HRV-HR033,urb,Zone_4C Mixed Marine,perm,mfh,2000,p3,0.2965686274509804
C-EEU-HRV,EEU,C-EEU-HRV-HR033,urb,Zone_4C Mixed Marine,perm,mfh,2010,p3,0.16985823106220907
C-EEU-HRV,EEU,C-EEU-HRV-HR033,urb,Zone_4C Mixed Marine,perm,mfh,2015,p3,0.05379813796022006
C-EEU-HRV,EEU,C-EEU-HRV-HR033,urb,Zone_4C Mixed Marine,perm,mfh,2020,p3,0.05845323741007194
C-EEU-HRV,EEU,C-EEU-HRV-HR034,urb,Zone_3A Warm Humid,perm,mfh,1945,p1,0.07019295641613817
C-EEU-HRV,EEU,C-EEU-HRV-HR034,urb,Zone_3A Warm Humid,perm,mfh,1960,p2,0.08700580218593981
C-EEU-HRV,EEU,C-EEU-HRV-HR034,urb,Zone_3A Warm Humid,perm,mfh,1980,p2,0.36486304142490894
C-EEU-HRV,EEU,C-EEU-HRV-HR034,urb,Zone_3A Warm Humid,perm,mfh,2000,p3,0.2828228309270004
C-EEU-HRV,EEU,C-EEU-HRV-HR034,urb,Zone_3A Warm Humid,perm,mfh,2010,p3,0.11550398056942383
C-EEU-HRV,EEU,C-EEU-HRV-HR034,urb,Zone_3A Warm Humid,perm,mfh,2015,p3,0.03891512616381055
C-EEU-HRV,EEU,C-EEU-HRV-HR034,urb,Zone_3A Warm Humid,perm,mfh,2020,p3,0.0406962623127783
C-EEU-HRV,EEU,C-EEU-HRV-HR035,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.08416746512275838
C-EEU-HRV,EEU,C-EEU-HRV-HR035,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.05903818318961124
C-EEU-HRV,EEU,C-EEU-HRV-HR035,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.3760422400260942
C-EEU-HRV,EEU,C-EEU-HRV-HR035,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.2603850257204792
C-EEU-HRV,EEU,C-EEU-HRV-HR035,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.13132054444512398
C-EEU-HRV,EEU,C-EEU-HRV-HR035,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.045861958833642524
C-EEU-HRV,EEU,C-EEU-HRV-HR035,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.04318458266229045
C-EEU-HRV,EEU,C-EEU-HRV-HR036,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.1984807876200353
C-EEU-HRV,EEU,C-EEU-HRV-HR036,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.04870099260596102
C-EEU-HRV,EEU,C-EEU-HRV-HR036,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.258629745855163
C-EEU-HRV,EEU,C-EEU-HRV-HR036,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.2730541825479131
C-EEU-HRV,EEU,C-EEU-HRV-HR036,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.14023084485986342
C-EEU-HRV,EEU,C-EEU-HRV-HR036,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.03907123328260313
C-EEU-HRV,EEU,C-EEU-HRV-HR036,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.041832213228460986
C-EEU-HRV,EEU,C-EEU-HRV-HR037,urb,Zone_3A Warm Humid,perm,mfh,1945,p1,0.11858655440744993
C-EEU-HRV,EEU,C-EEU-HRV-HR037,urb,Zone_3A Warm Humid,perm,mfh,1960,p2,0.0630692690394183
C-EEU-HRV,EEU,C-EEU-HRV-HR037,urb,Zone_3A Warm Humid,perm,mfh,1980,p2,0.3165454777395076
C-EEU-HRV,EEU,C-EEU-HRV-HR037,urb,Zone_3A Warm Humid,perm,mfh,2000,p3,0.28360760301058807
C-EEU-HRV,EEU,C-EEU-HRV-HR037,urb,Zone_3A Warm Humid,perm,mfh,2010,p3,0.13346090062507973
C-EEU-HRV,EEU,C-EEU-HRV-HR037,urb,Zone_3A Warm Humid,perm,mfh,2015,p3,0.04283709656843985
C-EEU-HRV,EEU,C-EEU-HRV-HR037,urb,Zone_3A Warm Humid,perm,mfh,2020,p3,0.04189309860951652
C-EEU-HRV,EEU,C-EEU-HRV-HR050,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.09512010113780026
C-EEU-HRV,EEU,C-EEU-HRV-HR050,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.06161314791403287
C-EEU-HRV,EEU,C-EEU-HRV-HR050,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.33506278971765696
C-EEU-HRV,EEU,C-EEU-HRV-HR050,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.2488630425621576
C-EEU-HRV,EEU,C-EEU-HRV-HR050,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.18066245259165614
C-EEU-HRV,EEU,C-EEU-HRV-HR050,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.03868183733670459
C-EEU-HRV,EEU,C-EEU-HRV-HR050,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.039996628739991574
C-EEU-HRV,EEU,C-EEU-HRV-HR061,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.03157264701481371
C-EEU-HRV,EEU,C-EEU-HRV-HR061,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.07424809217417327
C-EEU-HRV,EEU,C-EEU-HRV-HR061,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.3894658087685171
C-EEU-HRV,EEU,C-EEU-HRV-HR061,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.3064791261409547
C-EEU-HRV,EEU,C-EEU-HRV-HR061,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.10447403860541674
C-EEU-HRV,EEU,C-EEU-HRV-HR061,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.03902439024390244
C-EEU-HRV,EEU,C-EEU-HRV-HR061,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.05473589705222206
C-EEU-HRV,EEU,C-EEU-HRV-HR062,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.0408462546194005
C-EEU-HRV,EEU,C-EEU-HRV-HR062,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.07889642766360988
C-EEU-HRV,EEU,C-EEU-HRV-HR062,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.41243180884969594
C-EEU-HRV,EEU,C-EEU-HRV-HR062,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.2733511917564476
