index,region_bld,urt,arch,mat,year,value
316,C-EEU-EST,rur,mfh,perm,2015,23.775975677454706
317,C-EEU-EST,rur,mfh,perm,2055,37.11658922262203
318,C-EEU-EST,rur,mfh,perm,2050,35.75464202043571
319,C-EEU-EST,rur,mfh,perm,2075,41.44417144405269
320,C-EEU-EST,rur,mfh,perm,2080,42.26507429260709
321,C-EEU-EST,rur,mfh,perm,2065,39.49986466817534
322,C-EEU-EST,rur,mfh,perm,2060,38.36487575234318
323,C-EEU-EST,rur,mfh,perm,2070,40.5246000613547
324,C-EEU-HRV,sub,mfh,perm,2030,24.211375581271604
325,C-EEU-HRV,sub,mfh,perm,2090,36.235895233931075
326,C-EEU-HRV,sub,mfh,perm,2085,35.712016229575596
327,C-EEU-HRV,sub,mfh,perm,2080,35.116680060047536
328,C-EEU-HRV,sub,mfh,perm,2075,34.44288201142083
329,C-EEU-HRV,sub,mfh,perm,2070,33.68394643443691
330,C-EEU-HRV,sub,mfh,perm,2060,31.88795639448995
331,C-EEU-HRV,sub,mfh,perm,2055,30.842910899240014
332,C-EEU-HRV,sub,mfh,perm,2050,29.698048320683203
333,C-EEU-HRV,sub,mfh,perm,2045,28.455395537495473
334,C-EEU-HRV,sub,mfh,perm,2040,27.12024259165273
335,C-EEU-HRV,sub,mfh,perm,2035,25.70141666861482
336,C-EEU-HRV,sub,mfh,perm,2095,36.6953751754277
337,C-EEU-HRV,sub,mfh,perm,2065,32.833917703793205
338,C-EEU-HRV,sub,mfh,perm,2100,37.097328884582836
339,C-EEU-HRV,sub,sfh,perm,2050,47.531983777849454
340,C-EEU-HRV,sub,sfh,perm,2020,33.74499202050873
341,C-EEU-HRV,sub,sfh,perm,2100,59.374404135976924
342,C-EEU-HRV,sub,sfh,perm,2095,58.73106488353884
343,C-EEU-HRV,sub,sfh,perm,2090,57.995660177447746
344,C-EEU-HRV,sub,sfh,perm,2085,57.15719040576827
345,C-EEU-HRV,sub,sfh,perm,2080,56.20435938475433
346,C-EEU-HRV,sub,sfh,perm,2075,55.12595628043261
347,C-EEU-HRV,sub,sfh,perm,2070,53.91129671246158
348,C-EEU-HRV,sub,sfh,perm,2015,31.18778322060681
349,C-EEU-HRV,sub,sfh,perm,2065,52.55084843346134
350,C-EEU-HRV,sub,sfh,perm,2055,49.36430204863617
351,C-EEU-HRV,sub,mfh,perm,2025,22.665920680888103
352,C-EEU-HRV,sub,sfh,perm,2045,45.54315213273455
353,C-EEU-HRV,sub,sfh,perm,2040,43.406271112896505
354,C-EEU-HRV,sub,sfh,perm,2035,41.13546581485755
