region_bld,region_nuts,urt,clim,year,value
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2070,0.07171189523809522
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2070,0.3085092476190476
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2075,0.024369609374999997
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2075,0.0689287388392857
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2075,0.3009936741071428
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2080,0.02188791666666667
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2080,0.06638708333333333
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2080,0.2948551666666666
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2085,0.019436182291666666
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2085,0.06424850520833333
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2085,0.2907286354166666
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2090,0.01708393333333334
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2090,0.06267458095238096
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2090,0.2892489904761905
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2095,0.014900696875000001
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2095,0.06182688705357142
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2095,0.2910511419642857
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2100,0.012956
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2100,0.061867
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2100,0.29677
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2010,0.003899
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2010,0.023621
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2010,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2015,0.004171245833333333
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2015,0.024659714583333332
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2015,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2020,0.004378066666666667
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2020,0.025449780952380957
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2020,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2025,0.004523104166666667
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2025,0.026006956845238093
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2025,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2030,0.00461
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2030,0.026347
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2030,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2035,0.004642395833333332
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2035,0.0264856681547619
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2035,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2040,0.004623933333333333
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2040,0.02643871904761904
C-WEU-MLT,C-WEU-MLT-MT002,urb,Zone_3A Warm Humid,2040,0.0
C-WEU-MLT,C-WEU-MLT-MT002,rur,Zone_3A Warm Humid,2045,0.004558254166666666
C-WEU-MLT,C-WEU-MLT-MT002,sub,Zone_3A Warm Humid,2045,0.02622191041666666
