,year,region_bld,clim,arch,urt,value
211,2015,C-WEU-ITA,Zone_5A Cool Humid,sfh,urb,0.256
212,2015,C-WEU-ITA,Zone_5C Cool Marine,mfh,urb,0.308
213,2015,C-WEU-ITA,Zone_5C Cool Marine,sfh,urb,0.341
214,2015,C-WEU-ITA,Zone_6A Cold Humid,mfh,urb,0.561
215,2015,C-WEU-ITA,Zone_6A Cold Humid,sfh,urb,0.554
216,2015,C-WEU-ITA,Zone_7A Very cold Humid,mfh,rur,0.502
217,2015,C-WEU-ITA,Zone_7A Very cold Humid,mfh,urb,0.374
218,2015,C-WEU-ITA,Zone_7A Very cold Humid,sfh,rur,0.415
219,2015,C-WEU-ITA,Zone_7A Very cold Humid,sfh,urb,0.437
220,2015,C-WEU-LUX,Zone_5A Cool Humid,mfh,urb,0.104
221,2015,C-WEU-LUX,Zone_5A Cool Humid,sfh,urb,0.002
222,2015,C-WEU-MLT,Zone_3A Warm Humid,mfh,urb,0.0
223,2015,C-WEU-MLT,Zone_3A Warm Humid,sfh,urb,0.0
224,2015,C-WEU-NLD,Zone_4A Mixed Humid,mfh,rur,0.14
225,2015,C-WEU-NLD,Zone_4A Mixed Humid,mfh,urb,0.064
226,2015,C-WEU-NLD,Zone_4A Mixed Humid,sfh,rur,0.1
227,2015,C-WEU-NLD,Zone_4A Mixed Humid,sfh,urb,0.027
228,2015,C-WEU-NLD,Zone_5A Cool Humid,mfh,urb,0.067
229,2015,C-WEU-NLD,Zone_5A Cool Humid,sfh,urb,0.028
230,2015,C-WEU-PRT,Zone_3A Warm Humid,mfh,rur,0.308
231,2015,C-WEU-PRT,Zone_3A Warm Humid,mfh,urb,0.24
232,2015,C-WEU-PRT,Zone_3A Warm Humid,sfh,rur,0.43
233,2015,C-WEU-PRT,Zone_3A Warm Humid,sfh,urb,0.346
234,2015,C-WEU-PRT,Zone_3C Warm Marine,mfh,rur,0.342
235,2015,C-WEU-PRT,Zone_3C Warm Marine,mfh,urb,0.19
236,2015,C-WEU-PRT,Zone_3C Warm Marine,sfh,rur,0.437
237,2015,C-WEU-PRT,Zone_3C Warm Marine,sfh,urb,0.251
238,2015,C-WEU-PRT,Zone_4A Mixed Humid,mfh,rur,0.379
239,2015,C-WEU-PRT,Zone_4A Mixed Humid,sfh,rur,0.51
240,2015,C-WEU-PRT,Zone_4C Mixed Marine,mfh,rur,0.33
241,2015,C-WEU-PRT,Zone_4C Mixed Marine,mfh,urb,0.198
242,2015,C-WEU-PRT,Zone_4C Mixed Marine,sfh,rur,0.516
243,2015,C-WEU-PRT,Zone_4C Mixed Marine,sfh,urb,0.267
244,2015,C-WEU-SWE,Zone_5A Cool Humid,mfh,rur,0.153
245,2015,C-WEU-SWE,Zone_5A Cool Humid,mfh,urb,0.088
246,2015,C-WEU-SWE,Zone_5A Cool Humid,sfh,rur,0.447
247,2015,C-WEU-SWE,Zone_5A Cool Humid,sfh,urb,0.178
248,2015,C-WEU-SWE,Zone_6A Cold Humid,mfh,rur,0.135
249,2015,C-WEU-SWE,Zone_6A Cold Humid,mfh,urb,0.089
250,2015,C-WEU-SWE,Zone_6A Cold Humid,sfh,rur,0.35
251,2015,C-WEU-SWE,Zone_6A Cold Humid,sfh,urb,0.223
252,2015,C-WEU-SWE,Zone_7A Very cold Humid,mfh,rur,0.155
253,2015,C-WEU-SWE,Zone_7A Very cold Humid,mfh,urb,0.126
254,2015,C-WEU-SWE,Zone_7A Very cold Humid,sfh,rur,0.464
255,2015,C-WEU-SWE,Zone_7A Very cold Humid,sfh,urb,0.35
256,2015,C-WEU-SWE,Zone_8A Subarctic/arctic Humid,mfh,urb,0.159
257,2015,C-WEU-SWE,Zone_8A Subarctic/arctic Humid,sfh,urb,0.342
258,2020,C-EEU-BGR,Zone_4A Mixed Humid,mfh,rur,0.325
259,2020,C-EEU-BGR,Zone_4A Mixed Humid,mfh,urb,0.329
260,2020,C-EEU-BGR,Zone_4A Mixed Humid,sfh,rur,0.479
261,2020,C-EEU-BGR,Zone_4A Mixed Humid,sfh,urb,0.467
262,2020,C-EEU-BGR,Zone_5A Cool Humid,mfh,rur,0.407
263,2020,C-EEU-BGR,Zone_5A Cool Humid,mfh,urb,0.29
264,2020,C-EEU-BGR,Zone_5A Cool Humid,sfh,rur,0.559
265,2020,C-EEU-BGR,Zone_5A Cool Humid,sfh,urb,0.557
266,2020,C-EEU-CZE,Zone_5A Cool Humid,mfh,rur,0.165
267,2020,C-EEU-CZE,Zone_5A Cool Humid,mfh,urb,0.135
268,2020,C-EEU-CZE,Zone_5A Cool Humid,sfh,rur,0.262
269,2020,C-EEU-CZE,Zone_5A Cool Humid,sfh,urb,0.187
270,2020,C-EEU-EST,Zone_6A Cold Humid,mfh,rur,0.292
271,2020,C-EEU-EST,Zone_6A Cold Humid,mfh,urb,0.223
272,2020,C-EEU-EST,Zone_6A Cold Humid,sfh,rur,0.282
273,2020,C-EEU-EST,Zone_6A Cold Humid,sfh,urb,0.236
274,2020,C-EEU-HRV,Zone_3A Warm Humid,mfh,rur,0.547
275,2020,C-EEU-HRV,Zone_3A Warm Humid,sfh,rur,0.585
276,2020,C-EEU-HRV,Zone_4A Mixed Humid,mfh,rur,0.337
277,2020,C-EEU-HRV,Zone_4A Mixed Humid,mfh,urb,0.333
278,2020,C-EEU-HRV,Zone_4A Mixed Humid,sfh,rur,0.397
279,2020,C-EEU-HRV,Zone_4A Mixed Humid,sfh,urb,0.384
280,2020,C-EEU-HRV,Zone_4C Mixed Marine,mfh,rur,0.635
281,2020,C-EEU-HRV,Zone_4C Mixed Marine,sfh,rur,0.59
282,2020,C-EEU-HRV,Zone_5A Cool Humid,mfh,rur,0.701
283,2020,C-EEU-HRV,Zone_5A Cool Humid,sfh,rur,0.632
284,2020,C-EEU-HUN,Zone_4A Mixed Humid,mfh,rur,0.23
285,2020,C-EEU-HUN,Zone_4A Mixed Humid,mfh,urb,0.17
